用户名,评论,time
_*1,人很多，第一次去建议买快速票，不要相信什么攻略，因为园区你不熟，不然排队拍死你，很多项目都玩不了，如果一个人可以占点便宜走凑数通道,2019-01-28
M*4,进入环球影城就来到了一个大party，各式各样的场馆设施，人们的奇葩装扮也太欢乐了。重磅推荐环球影城里的火鸡腿。看到排长队，当时不知道是什么好东西，也排队买了一根，好大一个火鸡腿，小朋友吃的干干净净。,2019-01-28
M*7,环球影城花费不低，大门票和快速4项出发前已购，此两项我们2大1小就花费近3千。无论门票还是快速票，如果不是官网购买，价格差异蛮大，可以多多比对后下手。环球影城永远都是人众众，快速票可免去排队时间。,2019-01-28
M*8,很好好好好好好好好好好好好好h,2019-03-17
艳*5,不买快速票基本是什么也玩不上，只剩排队了！买了快速票，价位就超级不亲民了！,2019-05-14
M*5,说到环球影城，全球共有4个主题乐园，美国奥兰多、新加坡圣淘沙、美国洛杉矶以及日本大阪。如果没去过其他国家的，超五星推荐大阪环球影城。,2019-01-26
L*L,哈利波特魔法园区的魔法棒分为有魔法和无魔法两种，价格不同，购买时要明确。我们买魔法棒时并不知情，售货的跑去请来一位会中文的姑娘，才知道原来有带魔法功能的魔法棒。,2019-01-26
1*1,大阪环球影城迷们众多，不想花太多时间排队的亲可购买快速票（也就是插队票），有4项/7项等不同使用条件，可依据自身喜好需求购买。,2019-01-26
小*羊,太空幻想列车跟飞天翼龙我们排了将近两小时队，买快速票那几个十分钟就排到了，要没买快速票的话，一天也排不了几个项目。值得前来。,2019-01-26
h*3,太空幻想列车VR效果好，哈利波特禁忌之旅跟蜘蛛侠惊魂历险记4D效果超赞，飞天翼龙也很刺激，就是对我来说感受没那么强，不知道好莱坞美梦怎么样，要去的朋友，一定要买快速票。,2019-01-26
芊*猪,日本环球影城占地54公顷，拥有18种大型游乐设施，以及54间餐饮与零售设施。日本环球影城占地54公顷，拥有18种大型游乐设施，以及54间餐饮与零售设施~特别值得来！,2019-01-26
2*0,非常好的游玩地方，比东京迪斯尼人少多了，可惜我们去的迟了，没玩多少项目。未来水世界非常吸引观众，小伙子表演的很好,2018-07-15
E*4,很棒啊，没有迪士尼人多，适合成年人，园区也不是很大，一天足够玩,2018-07-15
M*1,很不错的地方，这次去人不算多，没排很长时间的队，基本上每个项目都玩过了，下次再去。,2018-07-15
2*5,超级超级超级好玩 最喜欢哈利波特禁忌之旅 效果逼真 很值得一去 ,2019-01-25
1*8,非常好玩的娱乐公园，但若是你已经体验过国内的一些大的娱乐公园，那么这个项目虽然小，也会让你有不一样的体验和享受，除了一如既往的贵以外，还是跟国内的不一样的,2019-01-25
3*1,人是真的很多啊，为了省些预算没有买快速券，后悔呀，本以为就这么几个项目排队就排一会儿呗，谁知一排就是天荒地老，但是好在一天中经典的项目都玩上了，没有啥遗憾的，虽然有点累，把几个主要的经典人气项目排完也快天黑了，这个时候再玩其他的项目就很快了。。。。。。想问一句，为啥不能传图？,2018-10-19
三*号,大阪环球影城是大阪最好玩的景点了，我们是早早的就去等开门了，发现已经有许多游客在等开门了，开门仪式也很有意思，有穿人偶的工作人员来迎接大家,2018-07-13
r*y,实在太好玩了，太爽了，但是不买快速的话，基本玩不全，因为人实在是多！,2019-03-13
M*3,如果你有孩子的童心，想在幻想世界自由玩耍，那环球影城是个不错的选择。哈利波特主题公园的项目有很多人，每个项目都要排队几个小时，最好买快速券。环球影城定时还有大游行活动，气氛非常火热，演员和游客都情绪高昂，载歌载舞，非常欢乐。,2018-10-18
M*0,环球影城跟迪士尼那简直不是在一个档次上的，这才是适合成人玩的，从开园到闭馆，玩爽了，好莱坞美梦来不及没玩，侏罗纪公园停运维修除了这两项跟一些小孩子玩的项目外，其他都玩到了！！！,2019-01-23
青*草,我们行程里大阪的重头戏！！！放弃了东京的迪士尼，就是为了有充足的时间来玩USJ，我们就给了USJ完整的一天！！真的真的要买快速票！,2019-01-23
M*5,一早進門冲去目标园区的真的有，特别是哈利波特，很多人的目标！在园区一开始哈利波特就要等40分钟了。如果你问我多不多人，肯定多人的。,2019-01-23
M*3,我作为游客觉得还是需要购买快速券的。我们9点去到园区门口，已经很多人在排队。很多人没有买购快速券，打算一早过来一进门就冲到目标园区或者抢整理券。,2019-01-23
M*6,关于环球影城的票，网上有很多说明。可以直接去USJ官网订票，速通票几乎是必买的，在这里有大人坐的过山车，有一些较为年代感的项目。,2019-01-23
M*4,我们在网上买的门票和快7的票，哈利波特区、飞天翼龙、小黄人都是提前预约的时间！地图：进了大门先拿地图，最好能找个中文地图。,2019-01-23
1*3,环境不错，人比较多，有很多日本的学生，里面的服务人员激情满满而且很热情，不是一般的热情哦。因为小朋友胆子比较小，有些项目没有玩，但感受气氛就已经很好了。,2018-07-12
小*z,很漂亮，很大，值得去的地方。。。,2018-07-12
M*2,皇家特许券太值了，快十点才到园区，所有热门项目都玩到了，有七个热门项目的快速券，按时间去玩很快就能玩到，人多的时候可能要等几分钟，剩下的几个比较热门的项目蜘蛛侠侏罗纪和好莱坞那个过山车还有一些，靠手环可以随便走快速通道无数次，想省时间的就买这个券没错了,2018-07-12
M*3,日本环球影城，简称USJ，和东京的迪斯尼乐园一样，都是日本国民和外国旅行者心目中的超人气主题乐园，来关西旅行时绝对不可以错过的游玩场所。欣赏够了大阪各处的美好风景后，可以去环球影城感受下别样的兴奋和快乐，尝试下以好莱坞电影为主题的各种有趣而又刺激的娱乐设施。,2018-10-17
1*5,挺好的，人不是特别多，用的快速票很方便，玩了五个过山车，看了迅游表演，挺好看的。,2018-07-11
_*4,蛮好玩的  去大阪必去的景点  和上海迪士尼比 游玩项目比较刺激 态度都很好 日本地方小  所以 感觉空间利用的淋漓尽致 大部分都室内3d,2018-08-28
_*5,门票预订很方便 提前买好了手机上保存图片 如愿很顺利 看到很多人打印出来 大家都准备的好细致 环球影城真心推荐 没有买快速通道票 一早去排队 想玩的都玩了 感觉很不错,2018-07-10
_*1,去的时间不是休息日所以人并不多，很多项目都没有排很久，大孩子小孩子的项目都有很快乐的一天游玩,2018-07-09
z*4,有用，不过当天由于前天地震，也没多少人，最多排了半小时队,2018-07-09
2*9,快速票不需要排队直接入场，平时起码排1个半小时。今天可能是周末人特别多，所以有了vip票可以节约很多时间。,2019-01-19
W*m,值得一玩，特别是哈利波特主题，还有逆向世界，日本的这个比新加坡的好玩多了，但不过个人觉得最好玩的还是在洛杉矶！,2019-01-19
1*6,很好玩，同样是主题公园，日本的服务是好得令人还想再来,2018-08-26
1*1,比想象中的人还多，每个项目都很经典，需要排很长的队，不过都是值得的！,2019-04-26
_*2,挺好，人很多！排队等候时间很长！,2018-12-01
嫣**,快速券还是很有必要买，确实可以节约很多时间。不需要打印纸质版，只要屏幕亮度够，直接出示PDF电子文档，工作人员扫描二维码就OK。当然，节约了时间，为了二刷，我依然没有时间逛商店,2018-12-01
1*3,购买速通卷相对来说还是比较方便,2019-04-25
K*n,提前买票非常方便，进园刷二维码即可，省去排队买票的时间。,2019-04-25
M*8,值得去的地方，刺激的过山车，哈利波特城堡，小黄人，就是排队时间长,2019-04-24
百*泪,特别！玩的看的买的吃的都不错，就是人多。,2019-04-24
d*u,气氛相当棒。很喜欢。最爱小黄人。,2019-04-24
微*宝,水世界特效真棒，还想再看一遍哦！,2019-03-06
小*j,去大阪一定要去的地方就是虽然都是日语表演 但是很不错的 还可以和自己喜欢的人物合影 棒棒哒～买了爆米花敲开心的,2018-10-11
1*9,非常值得打卡～园区不大，推荐啊,2019-04-23
U*1,春节期间人去的也挺多 有了这个票免去了排队的痛苦,2019-04-23
U*1,快速票真的对于懒人来说太好了 ！,2019-04-23
M*3,好好好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2019-04-22
n*3,把二维码打印出来，扫码入园很方便,2019-04-22
n*3,把二维码打印出来，扫码入园很方便,2019-04-22
M*0,游园里非常非常好玩，真希望以后还能去玩,2019-04-22
碎*跑,很赞，体验超棒，服务也很好，还好避开了周六日，想玩的大项都体验了,2019-04-22
N*陪,来大阪必去环球影城，实在是太好玩了,2018-11-27
R*9,小朋友非常开心，基本各项目都玩到了，其中哈理波特和飞天翼龙的项目是最刺激的，还有可爱的小黄人和勇敢正义的蜘蛛️侠，都是非常好玩的游戏体验。,2018-07-03
b*g,可能赶上万圣节活动，人很多，EXPRESS是必备呀，不然各种排排排。EXPRESS是电子票，不过我还是打印了一张，验票扫码比较方便，很多人手机展示的二维码扫描时比较费劲，有时需要试好几下，不如纸质的方便。,2018-10-08
M*0,不买快递票的话就不算贵！买快速的话就太贵了！但是真的很好耍！大人小孩都觉得很有趣！太好玩了！除了排队等候时间过长以外！适合亲子出游！,2018-08-19
_*8,很错！哈利波特和小黄人很不错，除环球的卡通人物还有日本自己的几个卡通人物园区。,2018-07-01
1*1,大阪必打卡的景点，黄油啤酒和小黄人饼干好吃，哈利波特最好玩，赞。,2019-04-16
M*4,很好玩！比新加坡的主题更新。整个园区不是很大，人是真多啊，一个项目没有快速票就且排队呢！所以买快速票很重要！,2018-08-15
M*4,有优惠券门票价格很划算，玩得很开心！,2018-06-27
M*4,还好买了快速7，想玩的项目都能很轻松的玩到了！快速票+一个人，几乎都没怎么排队呢！,2018-06-27
M*r,2017年1月20日没有买快速票，选择周中去，虽然还是免不了排队，但从头到尾玩得非常尽兴！我们完全没有经验，所以出发已经晚了，进门先去不用排队的过山车，然后溜溜哒哒的到了哈利波特主题馆，非常奇妙的魔法旅行！（不建议排队霍格沃兹学院外面露天的过山车，非常普通……）我去的时候小黄人馆还没有建起来，只有餐厅，东西味道普通的是卖相非常好。作为eva铁粉，能够感受到VR战斗太美妙了，记得带足钱去玩，永远有比你想的好得多的手办和玩具出现！！今年8月还要再去，有海贼王真人舞台剧，祝大家玩得开心，这是每次去大阪绝不会错过也不会失望的USJ！！！,2017-07-20
M*4,电子门票使用方便，很棒的一次旅游,2019-01-06
_*5,整个园区其实不算特别大 8个小时大概可以转完所有的项目了 3D 4D电影系列没啥意思 过山车什么的还不错 门票直接用邮件的二维码就可以进了,2019-01-05
铁*蛋,非常好 8.00-22.00  里边待了一天  老毙了,2018-08-12
e*3,电子票，直接扫码入园很方便，而且出票也很快，双人票比单买便宜一些,2019-02-22
S*g,环球影城值得去，预定了快速通行券，就可以不用排队很长时间，大约也要排队半个小时才轮到好的节目。 孩子们在哈利波特乐园玩得很开心，下次还会再去一趟玩因为孩子们很喜欢这些项目。,2019-01-04
1*2,太刺激了，也不用长时间排队。性价比高。,2019-04-11
W*暐,感觉一般.不够广州长隆好玩.刺激性不够.个人觉得只适合小学生游玩.,2019-04-11
M*8,下雨，有些项目没有开。有些遗憾。,2018-06-23
1*6,非常好玩，买快速通道票节约了好多时间，推荐一定要买。,2018-06-23
流*场,很不错之前一直很想去，这次终于如愿了,2019-04-10
桃*1,去了一定要买快速票！人好多！不过好好玩！作为一个哈迷去看哈利波特好幸福哦！,2019-04-10
2*0,很好玩，非常值得去，大人小孩都有玩的,2019-04-10
1*3,好好玩，一定要买快速票。假期真的很多人。小孩玩一天都不觉得累。,2019-04-10
m*3,去大阪，特别想去的就是环球影城，哈里波特城堡。,2019-04-10
M*7,去的早一点，就没必要买快速票了。那天我们一群人都没买快速票，几个必玩的项目，有人玩了三轮,2018-08-09
_*2,出票很快，使用方便，现场不用排队，省时,2019-04-09
_*2,很好很快有价值，必须购买，实用,2019-04-09
R*q,非常赞，比美国的人多一点，但东西也多一点，很好玩，下次再来,2019-04-09
M*8,周五依然人山人海。经典项目基本排队2小时。下雪超冷。室外排队冻死。没买快速票一天玩了5个项目。有快速票的话基本每个项目节约1小时。剩下的只能下次再来。推荐哈利波特、蜘蛛侠、福音战士！,2019-01-01
r*3,大阪必打卡，建议提前买好票，避免排队,2019-04-08
瓦*后,还是中国玩的好，可能因为日本区域大小的原因吧。,2019-04-08
嘎*妈,很不错，很不错，套票方便。。。,2019-04-08
诗*节,大阪环球影城的哈利波特和小黄人主题乐园真赞晚上住在园内的酒店，出门就是环球影城 方便第二天继续high Hollywood Dream音乐过山车超好玩！不论是正着坐的还是逆转的，都超好玩！,2018-05-02
R*主,"非常好用,直接打印二维码页面,到现场直接给工作人员扫码即可,扫码的队伍是在大门最左边的几个,可以问一下工作人员,千万不要排错了~",2018-06-19
_*3,非常棒的一次体验，服务态度很好，很有温度,2018-06-19
M*4,急！#门票、快速4转让#6月23日 大阪环球影城快速票超低价转让啦！预定的2018年6月23日大阪双人环球影城门票及双人四项标准快速票低价转让，快速票里包含【哈利波特禁忌之旅】和【小黄人调皮闹剧乘车游】现在低价转让,2018-06-19
M*1,游玩当天有点小阵雨，所以排队不是很多。推荐小黄人乘车游，除了前戏有点长，出乎意料地好玩。园区工作人员也是个个活力满满笑脸相迎。晚上的夜间巡游千万不要错过,2018-06-19
D*g,价格还是比较实惠的，预订了比较安心。,2019-04-07
J*w,非常有意思，好玩得不想回家哈哈哈哈哈哈哈哈,2019-04-07
J*w,非常有意思，好玩得不想回家哈哈哈哈哈哈哈哈,2019-04-07
s*a,超级好玩，喜欢哈利波特，排队都觉得值得,2019-04-07
欣*凝,好玩，去过一次还想去！！！！！,2019-04-07
K*n,快速通行券的好处基本不必多说，省时间的人的最爱，觉得买四个就够了，不用买到全快速,2019-04-07
清*吟,特别特别喜欢小黄人，色彩艳丽，趣味十足；哈利波特反倒感觉一般，不过整个区域的设计风格不错。,2019-04-07
2*9,环球影城总是人气爆棚哦。各有特色,2019-04-07
盛*夏,手机上提前购买，顺利进场，USJ一次不够玩啊。,2019-04-06
盛*夏,手机上提前购买，顺利进场，USJ一次不够玩啊。,2019-04-06
1*6,开心值得一去的地方，有机会还会去玩的！,2019-04-06
A*S,去过环球影城之后感觉其余的都是渣渣,2019-04-06
z*8,很不错值得体验，应该下次还会再去,2019-04-05
j*x,还不错，还想再去玩，很多项目很刺激的,2019-04-05
M*2,带孩子去玩，很不错，虽然语言不通，但是工作人员都很友善,2019-04-05
E*1,特别好，特别快，预定时候太匆忙。,2019-04-05
E*1,特别快，特别好，预定很时候很匆忙，并没有影响使用。,2019-04-05
M*0,周二来的，一天几乎全部玩完，快速票基本没用到！,2018-11-10
c*c,非常非常值得去，但必须要提前做好攻略，排队那不是一般的人多,2019-04-04
懒*声,非常好的地方，下次还会再来的，噢,2019-04-04
懒*声,非常好的地方，下次一定还会再来,2019-04-04
M*5,超好玩！！！！！！！！！！！！,2018-11-09
美*曦,没买快速票，居然玩齐快速票7项，一家三口貌似省了很大一笔开支，棒棒哒PS：没想排队时间最长一个小时，最短十分钟,2018-08-03
郎*啊,挺好的，效率很高，手机打开二维码在门口扫码入园，扫码节省了时间，再加上入口较多，入园不需要排队。,2019-04-03
w*2,比当场买便宜，还是很划算的，不错，又不用排队，真的非常的方便,2019-04-03
M*4,对大人来说这里就象孩子眼中的迪士尼。,2019-04-03
吴*槿,队伍有点长，但是很好玩，工作人员很热情 ,2019-04-02
S*吖,几乎是秒确认，在酒店打印了纸质二维码，8:30准时入场，入口处扫脸扫码很顺利~直奔飞天翼龙，因为是自己一个人来的日本所以走的单人通道，全程没花上10分钟就坐到了…太爽了，意犹未尽以至于下午吃完饭又来了一轮…说下哈利波特，我没有买express，排了整两小时，肚子里一点东西都没有…真的快屎在队伍里了~但是，但是，坐了之后觉得还是值得的~建议不差钱的兄弟姐妹能买express就买吧…这天儿太遭罪了！,2018-08-01
M*6,很好玩很刺激，必须去的景点啊。,2019-04-01
y*g,的确比排着长长队伍的普通队伍要快多了，尤其是热门的景点，例如哈利波特，小黄人等,2019-04-01
y*g,非常好玩，值得玩二天，儿子超级喜欢,2019-04-01
6*7,打印预定的凭证之后直接扫码入园 十分方便,2019-03-31
s*y,二维码不用打印也可以扫～很方便！,2019-03-31
可*雄,购买便捷，使用方便，值得推荐！,2019-03-31
_*0,"Good, very good",2019-03-31
M*8,很好玩，下次再来，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2019-03-31
1*9,周一去的，本以为错开周末人流高峰。结果发现人依然超多，热门项目都要排队1小时，体验大受影响。,2018-11-05
l*3,很好玩，前一天下大雨，还怕不能成行，没想到第二天晴空万里，美啊,2018-06-12
w*l,非常刺激的乐园，适合大人以及青少年。里面的人非常多的，几乎每个项目都是排长队。强烈推荐大家一定要舍得时间排哈利波特，是里面最经典的项目，坐在扫把上飞翔，3D效果超棒的哦。,2018-04-24
错*了,日本环球影城跟人感觉比新加坡的更好玩，有世界最长的过山车，让人血压飙升呀，早一点去，然后买快速票，不然是一天玩不完的，我们从早上玩到6点好过瘾的。,2018-07-30
_*3,虽然价格比门票还贵，但对带娃的我们来说，时间和保存体力最重要。所以还是值,2018-12-22
_*9,超好玩！！单人通道非常省事 早起也管用,2018-06-10
乐*哈,朋友打算去日本玩来问我这个地方是否要去，我表示出很难回答的，真的不是特别有意思，而且价格也不便宜。,2019-04-05
f*8,我只想说 超级方便。提前两天购得，由于是晚上9点左右订的票，说第二天早上会发送到邮箱。果真是快速出票。到了游玩的那天，我们大概9点到环球影城，可能周四？入园并不算很忙，于是一句冲向哈利波特。没有快速票大概排了1小时就玩儿到了禁忌之旅。童年看小说的那种亲切感在音乐旋律中回荡。。。新世纪福音战士是本次行程中我觉得最带感的，排了一个半小时左右吧，是1月16日刚开的项目。超级无敌棒啦！我下次还要去??,2017-02-05
M*1,值得一玩。孩子玩的很开心工作人员的服务真的是一级棒。,2018-07-25
子*8,哈利波特园特别推荐！⭐⭐⭐⭐⭐，有种身临其境的感觉！,2018-06-06
杀*吴,项目类型单一，其他还好，还是可以玩,2018-07-24
1*8,实在太刺激了，一天基本都能体验完所有项目。,2019-03-24
F*6,现代化的科技表演排队人很多，但可以买一些，不用排队的卷，这样就快很多。,2019-03-24
M*5,超级好玩的！好玩到死！还要去！还要去！,2018-06-05
1*0,非常值得去的一个景点，八天内我们玩了两次，哈里波特的禁忌之旅超级好玩，感觉自己在飞似的。好莱坞美梦游的过山车也超爽，坐了这个后别的过山车太小儿科了,2018-07-23
M*1,很刺激，排队等候时间每项差不多30分钟。还看到了精彩的演出。棒棒哒！,2018-07-23
E*8,电子票很快就发到邮箱里了，第二天去环球影城直接打开邮件扫二维码进去，省去长长的买票队伍，否则真的很浪费时间。进去真的不自觉就被快乐的气氛围绕，每个人都很high！去了哈利波特园区，进了魔法城堡体验一回当魔法师的刺激，建议进去之前先下载一个usj的app可以看到各类机动游戏的排队时间，合理安排时间。玩single队比较划算，不用等太久，如果工作日去，不买快速券排单人通道也很快，有的还可以直接进去。一定要去体验飞天翼龙的速度与激情，整个人悬挂在空中真的太爽了！,2017-10-04
D*4,人超多，人山人海，游玩项目特少。,2019-04-02
F*e,超级棒，人也不是很多 服务人员都很热情,2019-03-23
S*x,设计精心，安全可靠，体验丰富，不虚此行。,2019-03-23
S*x,使用方便，节约时间，高效体验，物有所值。,2019-03-23
绝*行,还不错，下次得早点去，取票便捷，日本人民友善，到处可见中国人,2019-03-23
V*1,快乐行程，有了快速票安排很理想,2019-03-23
_*0,非常不错，基本上不用排队，省时省力。,2019-03-22
_*0,非常好玩，游客都比较有素质，不拥挤，都按序排队,2019-03-22
來*風,真的非常方便，快速出票，明確指向哪裡取票！,2018-09-07
1*8,有意思，值得一去的地方，毕竟都是高科技,2018-07-20
e*9,买的时候没有明确标明不在门口取票 害得我又做地铁跑了好几站耽误快两个小时才把票取回来 而且价钱也没便宜 语言又不是特别通 别提多费劲了 不在影城门口取票这么重要的事 必须认真强调 用那么小的字写出来 有什么意思 又不让退票 客户也解决不了 坑人 别卖了 下架吧,2018-07-10
M*4,好玩，就是现在去太热了，排队什么的都还可以等的时间不长,2018-07-19
l*7,很好 扫码入园 很方便价格还很优惠,2019-03-19
3*2,还不错，没有买快速票，玩了哈利波特蜘蛛侠还有水上世界,2019-03-19
大*爷,挺好玩的，里面各色东西都挺舒服～～孩子和自己都玩的挺开心的！,2019-03-19
A*曦,非常好玩，会再一次去游玩，很喜欢,2019-03-18
A*曦,非常好玩，我们非常喜欢，会再去,2019-03-18
2*2,好玩，过瘾，就是应该卖快速票的，人超级多！有机会下次再去环球影城！,2019-03-18
1*4,大阪环球影城的哈利波特区没有美国奥兰多的大，但是小黄人区做得非常可爱的，人气高,2018-09-04
1*6,比较方便，事把电子票先打印出来，扫码入园。我没有买快速票，住在离影城比较近的酒店，早早就去排队。先逛了小黄人乐园，后去的哈利波特，然后逛了其他各园，最后在7点的时候重新返回哈利波特又玩了一次，然后出来看巡游。这个门票还要配合地图和表演时间表来用比较好。可以在官网下载。如果孩子小，建议还是买快速票比较好，可以省去排队时间。,2018-09-04
b*e,不错 只是更新慢了 孩子很喜欢,2019-01-28
z*爸,觉得值得一来的地方，尤其是22号房的VR体验，还有哈利波特城堡，总之一定要玩两天，住在旁边的酒店。,2018-07-17
E*8,太棒啦，哈利波特城堡特别赞！！快速卷很方便，不用排队直接进。翼龙没敢玩，好莱坞美梦过山车很赞，适合我这种不敢玩翼龙的，哈哈。烤火鸡腿和啤酒好吃！,2018-05-29
菲*逖,哈利波特的整个城堡简直就是一模一样，可以拍电影了。好多场景都可以动，非常魔幻，非常刺激,2019-03-17
_*4,很好，出票慢了一点。。，，，，。,2019-03-17
1*7,人好多，天气冷……环境好……下次再去,2019-03-17
M*4,三种云霄飞车，第一种竹篓子款，不刺激，没坐；第二种正飞，不翻滚，坐了第一排，刺激的欢呼；第三种反飞并倒挂翻滚，惨叫声一片，没敢尝试。影城配套很好，很干净，也有专门区域，适合小孩子玩，并不是全都是刺激的项目,2018-09-03
_*8,蜘蛛侠 4星飞天翼龙 4星半侏罗纪公园 3星半backdraft 浴火重生 2星半魔鬼终结者 3星美少女战士 2星半大白鲨 3星好莱坞美梦 3星哈利波特2个项目 5星 3星半好莱坞美梦倒坐 3星小黄人 4星半12项目，除了新世纪福音战士150分钟不想排了，基本通关，星点纯属个人观点。,2018-09-03
2*7,不错的地方，就是人多了点，玩几个项目就一天过去了，总体还行吧,2019-03-16
g*f,不错，玩了几个项目，都是很刺激的，感觉比新加坡的好玩。,2018-10-21
g*f,不错，就是贵了些，而且哈利波特的用了却没坐，浪费了。,2018-10-21
吖*啦,扫描就能进门，个人感觉比纸质的方便,2019-01-26
晓*3,很好，很方便。出票快，价格的话应该比官方的优惠一些，不用排队去取票，保存到手机里扫二维码就能入场。,2019-03-15
晓*3,很好，很方便。出票快，价格的话应该比官方的优惠一些，不用排队去取票，保存到手机里扫二维码就能入场。,2019-03-15
晓*3,很好，很方便。出票快，价格的话应该比官方的优惠一些，不用排队去取票，保存到手机里扫二维码就能入场。,2019-03-15
1*2,很愉快的一次大阪之旅，虽然下着小雨，热情不减！扫码入园，方便快捷。,2018-05-27
M*6,惊险刺激 特别好玩  很有趣。,2019-03-14
_*8,刺激好玩值得去不错有机会可以去,2019-03-14
j*n,挺好的，以后还会来，，，，，，,2019-03-13
冰*玉,环球影城感觉不错。。。。。。。。。。。。。。,2019-03-13
E*2,快速票是必须的，要不然只是普通排队都玩不了全部东西。,2019-03-13
水*包,使用方便。节省了很多时间，推荐提前购买喔。,2019-03-13
1*7,很刺激很好玩，小朋友很享受！！,2019-03-13
2*3,很好！凌晨买的，三分钟内就出票了成功入园，早上一定要早点去排队入园，跑进去玩最热门的项目，我都没买快速票，也玩了很多项目,2018-10-18
h*0,每一项都惊险刺激，玩的很开心……下次来大阪，还想来玩,2018-05-25
_*0,哈利波特魔法世界精彩，整个园区两个字（精彩）,2018-05-25
s*y,好万好万好万好万好万好万万wna,2019-03-12
s*y,好玩好玩好玩好玩 好玩好玩好玩好玩,2019-03-12
_*4,游乐项目都是日语，没玩到名侦探柯南很遗憾，队伍都太长啦，很无奈,2019-03-12
M*8,第一次到大阪环球影城，看了半天攻略最后还是决定买快速通道票，虽然价格不低，但是实在不愿意排队，最后结果果然是对了，还是建议买到，否则热门项目至少排60-120分钟！,2018-12-04
W*书,水世界不要错过了 非常赞 哪怕听不懂,2019-03-21
M*9,很值得一去，这里是科技与电影文化的融合，十分注重游客的现场体验和感受，趣味性十足，不同的场馆比较集中，饮食也很方便，城区往返很方便。,2018-05-23
2*5,贵了点，好在玩的很开心，很值得,2019-03-11
1*2,方便快捷，真棒，过年期间真的需要的，不然时间来不及，蜘蛛侠刷了2遍，开心,2019-03-11
M*4,超级爽的游玩，唯一不好就是既不用英文也不用英文字幕，看不懂文字听不懂,2019-03-11
e*5,很愉快的的行程。出了地铁随着人群走，就可以顺利到达。买的扫码入园票，省的排队买票了，直接排队入园。服务员很热情，全程都有微笑的脸，人很多，各种语言，但是秩序井然，操着各种口音的国人真让人感到亲切。巡游很精彩，演员特别敬业，很有感染力。一些游戏比迪士尼刺激，影音效果特别棒。,2018-08-28
W*书,日语英语口音太有限了（ 水世界不要错过,2019-03-20
W*书,园区工作人员英语有限。有的项目沟通艰难。,2019-03-20
养*长,除了排队的时间长，其它的都很好,2019-03-10
h*y,氛围很好，能感染人，从而让人忘却烦恼,2019-03-10
2*7,去过大坂的环球影城，蜘蛛侠6D超赞，人不多,2019-03-10
时*走,必须得要快速券，要不然排队得半天,2019-03-10
M*1,八月二十一日去的，人不少，但是没有传说中的人从众，算了下玩了九个项目，园区不大，很容易就走过来了。,2018-08-27
美*吧,有这个券儿妥妥的高效！8月8日去环球影城人多的一塌糊涂，因为除了中国的、欧美的大人和孩子，日本的孩子也放了暑假，到处排长队。有7项卡，最多等候20分钟就可以玩到项目。从九曲十八弯的排队人群旁走着绿色通道的感觉，就一个字：真爽,2018-08-27
1*7,好棒，人很多，但服务特别好，下次有机会还要去,2019-03-09
1*7,第一次去，非常好，电影还原度高，有身临其境的感觉,2019-03-09
_*2,很值得去玩一次带上家人朋友挺好的,2019-03-09
m*o,带孩子去玩，很开心，孩子特别喜欢！,2019-03-09
M*1,很好玩的可惜孩子不够高 有的项目玩不了,2018-05-21
1*6,扫码进园很方便，环球影城设计感强，就在里面走走都觉得赏心悦目，项目也好玩，蜘蛛侠哈利波特太刺激了，过山车没敢玩，下雨人不是很多，排的时间都不长,2018-07-08
m*8,快速票非常方便，热门游乐项目全部体验，节省了不少时间。,2018-07-08
1*2,日本环球影城是以好莱坞电影为主题的大型主题乐园。里面有各种惊险的游乐设备，也有各种表演体验电影场景.最大的亮点就是哈利波特的魔法世界主题园区，也是我去环球影城的最终目的，最为一个哈利波特迷，亲身体验好刺激啊！,2017-09-19
1*9,出票速度很快 ～～～～～～～～,2019-03-08
注*称,我们去的那天没有花车巡游，有点遗憾。,2018-05-20
M*O,人超级多～玩的也不错～门票有点贵！,2019-03-07
M*0,人多，好玩，不错。相当刺激，项目多。,2019-03-07
s*r,好好好好好好好好好好好好好好好好,2019-03-07
_*7,挺好，方便，电子文档二维码可以直接入园。,2019-03-07
1*0,很不错！很好！！下次还会来！！,2019-03-07
_*6,下大雨去的USJ，人还是很多很多很多，除了好莱坞，其他排队都不久，但是雨天很多项目都没有开，性价比打折，还是不要雨天去好。,2018-07-06
S*h,很方便，价格比**优惠一点。所以就这里买，但快票不优惠,2019-03-06
没*逛,非常棒的主题公园，哈利波特必须玩,2019-03-06
l*8,出票快，兑票窗口操作简单，非常方便。,2019-03-06
7*爸,*************,2019-03-06
M*2,快速通道票很值得买，体验很好。用了快速票几个大项目一天可以玩两遍～～,2018-10-11
M*8,真的很好玩 就是周末人有点多  还是需要买快速通行票更划算,2018-10-11
1*8,二次刷环球，真的好玩，唯一遗憾的是人太多了，排队都是一小时以上，略累！,2018-08-23
只*墩,过去几万个人，玩一个游戏要两个多小时…简直崩溃。,2019-02-14
y*7,很好玩，环境很好，蜘蛛侠、小黄人、哈利波特都很好玩，给儿子买了很多记念品。,2019-03-05
2*5,特别好玩***********,2019-03-05
学*惜,总体一般，好多解说是日文听不懂就觉得很无聊,2019-03-05
